Rank,Ativo,Timeframe,Retorno (%),Max DD (%),Trades,Win Rate (%),Avg Win (%),Avg Loss (%),Profit Factor,Sharpe,Sortino,Calmar,Omega,Sterling,Burke,Score,Alvo Fixo (%),Modo de Saída,Sair no Flat (cinza),Histerese,Lookback,Período,Tipo,Alvo Fixo Parcial (%),Banda Parcial (%),Alvo Parcial,Realizar (%),Banda Inf (%),Banda Sup (%),Risco por Trade (%),ATR Mult,Banda (%),Fixo (%),Tipo de Stop,Ângulo Baixa,Ângulo Alta,Entry Zone,Usar Parcial,Position Sizing por Risco,Pullback,Usar Stop
1,Bitcoin (BTC),30m,23.39,-12.3,422,41.9,1.0,-0.63,1.16,0.96,2.16,1.9,1.16,9.65,4.3,0.8,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,0.1,False,False,False,True,True
2,Bitcoin (BTC),30m,22.19,-11.81,418,41.9,0.99,-0.62,1.15,0.93,2.16,1.88,1.15,9.42,4.19,0.79,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,1.3,False,False,False,True,True
3,Bitcoin (BTC),30m,23.48,-12.72,417,41.5,1.01,-0.62,1.16,0.97,2.24,1.85,1.16,9.97,4.43,0.77,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,0.9,False,False,False,True,True
4,Bitcoin (BTC),30m,23.78,-13.2,420,41.4,1.01,-0.62,1.16,0.97,2.24,1.8,1.16,10.09,4.49,0.75,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,0.7,False,False,False,True,True
5,Bitcoin (BTC),30m,22.15,-13.32,419,41.1,1.02,-0.62,1.15,0.92,2.13,1.66,1.15,9.41,4.18,0.68,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,0.5,False,False,False,True,True
6,Bitcoin (BTC),30m,21.98,-13.57,420,41.4,1.01,-0.62,1.15,0.92,2.11,1.62,1.15,9.33,4.15,0.67,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,0.3,False,False,False,True,True
7,Bitcoin (BTC),30m,19.09,-12.69,417,40.8,1.02,-0.62,1.13,0.82,1.91,1.5,1.13,8.1,3.6,0.61,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.5,2.0,Banda Stop,-0.5,1.1,False,False,False,True,True
8,Bitcoin (BTC),30m,15.63,-14.48,482,40.5,0.86,-0.52,1.11,0.75,1.89,1.08,1.11,8.78,3.92,0.44,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,1.3,False,False,False,True,True
9,Bitcoin (BTC),30m,14.38,-14.77,486,41.4,0.83,-0.53,1.11,0.7,1.75,0.97,1.11,8.08,3.61,0.4,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,1.7,False,False,False,True,True
10,Bitcoin (BTC),30m,15.1,-15.55,483,40.0,0.86,-0.52,1.11,0.73,1.82,0.97,1.11,8.49,3.79,0.39,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,0.9,False,False,False,True,True
11,Bitcoin (BTC),30m,15.14,-15.9,488,40.2,0.87,-0.53,1.11,0.72,1.76,0.95,1.11,8.26,3.69,0.38,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,0.1,False,False,False,True,True
12,Bitcoin (BTC),30m,13.53,-14.43,483,40.8,0.84,-0.52,1.1,0.67,1.68,0.94,1.1,7.6,3.39,0.38,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,1.5,False,False,False,True,True
13,Bitcoin (BTC),30m,12.92,-14.28,486,41.8,0.81,-0.53,1.1,0.65,1.58,0.91,1.1,7.04,3.15,0.38,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,1.9,False,False,False,True,True
14,Bitcoin (BTC),30m,14.56,-16.6,486,39.9,0.86,-0.52,1.11,0.7,1.73,0.88,1.11,8.09,3.61,0.35,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,0.7,False,False,False,True,True
15,Bitcoin (BTC),30m,13.13,-15.52,481,39.5,0.87,-0.52,1.1,0.65,1.65,0.85,1.1,7.38,3.29,0.33,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,1.1,False,False,False,True,True
16,Bitcoin (BTC),30m,12.84,-16.87,485,39.6,0.87,-0.52,1.1,0.64,1.58,0.76,1.1,7.13,3.18,0.3,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,0.5,False,False,False,True,True
17,Bitcoin (BTC),30m,12.67,-17.11,486,39.9,0.86,-0.52,1.1,0.63,1.56,0.74,1.1,7.04,3.14,0.3,5.0,Banda + Tendência,True,0.2,5.0,10.0,HMA,2.0,1.5,Banda,50.0,3.0,2.0,1.0,2.0,1.0,2.0,Banda Stop,-0.5,0.3,False,False,False,True,True
